year,month,category,count
2021,2,motorcycle,54820
2021,2,other,1246
2021,2,trailer,338
2021,2,van,264
2021,3,bus,21
2021,3,car,66244
2021,3,lorry,2128
2021,3,motorcycle,86692
2021,3,other,1732
2021,3,trailer,438
2021,3,van,346
2021,4,bus,52
2021,4,car,60957
2021,4,lorry,2143
2021,4,motorcycle,68338
2021,4,other,1632
2021,4,trailer,466
2021,4,van,333
2021,5,bus,34
2021,5,car,49507
2021,5,lorry,1820
2021,5,motorcycle,49761
2021,5,other,1442
2021,5,trailer,372
2021,5,van,261
2021,6,car,2063
2021,6,lorry,2
2021,6,motorcycle,9130
2021,6,other,12
2021,6,trailer,11
2021,6,van,1
2021,7,bus,12
2021,7,car,8400
2021,7,lorry,1239
2021,7,motorcycle,17172
2021,7,other,1428
2021,7,trailer,247
2021,7,van,99
2021,8,bus,16
2021,8,car,19152
2021,8,lorry,1460
2021,8,motorcycle,23698
2021,8,other,1597
2021,8,trailer,460
2021,8,van,138
2021,9,bus,17
2021,9,car,46046
2021,9,lorry,2126
2021,9,motorcycle,49820
2021,9,other,1857
2021,9,trailer,489
2021,9,van,360
2021,10,bus,13
2021,10,car,67215
2021,10,lorry,1965
2021,10,motorcycle,58729
2021,10,other,1707
2021,10,trailer,478
2021,10,van,457
2021,11,bus,34
2021,11,car,62887
2021,11,lorry,2218
2021,11,motorcycle,59459
2021,11,other,1884
2021,11,trailer,595
2021,11,van,400
2021,12,bus,28
2021,12,car,68070
2021,12,lorry,2666
2021,12,motorcycle,78429
2021,12,other,2036
2021,12,trailer,413
2021,12,van,525
2022,1,bus,24
2022,1,car,44567
2022,1,lorry,2134
2022,1,motorcycle,44353
2022,1,other,1801
2022,1,trailer,353
2022,1,van,412
2022,2,bus,18
2022,2,car,46100
2022,2,lorry,1389
2022,2,motorcycle,42060
2022,2,other,1314
2022,2,trailer,383
2022,2,van,352
2022,3,bus,15
2022,3,car,73413
2022,3,lorry,2282
2022,3,motorcycle,59966
2022,3,other,2087
2022,3,trailer,454
2022,3,van,474
2022,4,bus,15
2022,4,car,61330
2022,4,lorry,2103
2022,4,motorcycle,71000
2022,4,other,2039
2022,4,trailer,534
2022,4,van,371
2022,5,bus,20
2022,5,car,52934
2022,5,lorry,1664
2022,5,motorcycle,63397
2022,5,other,1582
2022,5,trailer,414
2022,5,van,297
2022,6,bus,27
2022,6,car,65708
2022,6,lorry,2177
2022,6,motorcycle,74970
2022,6,other,2098
2022,6,trailer,644
2022,6,van,398
2022,7,bus,19
2022,7,car,53223
2022,7,lorry,2002
2022,7,motorcycle,62501
2022,7,other,1947
2022,7,trailer,521
2022,7,van,326
2022,8,bus,31
2022,8,car,70450
2022,8,lorry,2165
2022,8,motorcycle,67701
2022,8,other,2184
2022,8,trailer,410
2022,8,van,445
2022,9,bus,36
2022,9,car,68305
2022,9,lorry,2324
2022,9,motorcycle,65046
2022,9,other,2256
2022,9,trailer,411
2022,9,van,405
2022,10,bus,27
2022,10,car,64367
2022,10,lorry,2221
2022,10,motorcycle,56812
2022,10,other,1925
2022,10,trailer,485
2022,10,van,411
2022,11,bus,40
2022,11,car,68150
2022,11,lorry,2136
2022,11,motorcycle,54936
2022,11,other,1950
2022,11,trailer,456
2022,11,van,316
2022,12,bus,29
2022,12,car,76215
2022,12,lorry,2600
2022,12,motorcycle,56300
2022,12,other,1998
2022,12,trailer,538
2022,12,van,432
2023,1,bus,42
2023,1,car,53692
2023,1,lorry,1698
2023,1,motorcycle,53721
2023,1,other,1689
2023,1,trailer,315
2023,1,van,186
2023,2,bus,27
2023,2,car,66163
2023,2,lorry,1714
2023,2,motorcycle,56446
2023,2,other,1889
2023,2,trailer,415
2023,2,van,322
2023,3,bus,37
2023,3,car,79947
2023,3,lorry,2338
2023,3,motorcycle,65264
2023,3,other,2219
2023,3,trailer,478
2023,3,van,409
2023,4,bus,32
2023,4,car,51480
2023,4,lorry,1742
2023,4,motorcycle,48030
2023,4,other,1647
2023,4,trailer,359
2023,4,van,279
2023,5,bus,30
2023,5,car,66651
2023,5,lorry,2184
2023,5,motorcycle,59554
2023,5,other,2012
2023,5,trailer,416
2023,5,van,285
2023,6,bus,49
2023,6,car,63921
2023,6,lorry,2131
2023,6,motorcycle,55966
2023,6,other,1918
2023,6,trailer,444
2023,6,van,330
2023,7,bus,40
2023,7,car,67983
2023,7,lorry,2137
2023,7,motorcycle,55401
2023,7,other,2198
2023,7,trailer,316
2023,7,van,358
2023,8,bus,54
2023,8,car,76619
2023,8,lorry,2137
2023,8,motorcycle,53041
